# problem_id;phase_id_dep;problem_description;choice_a;outcome_a;voice_a;choice_b;outcome_b;voice_b;character_img_id;background_img_id

#==TECHNICAL_PROBLEM
# A=speed-,visibility+  B=speed+, visibility-
RECORDING_ISSUE;REGISTER_VOICE;Tu découvres que ton micro a buggé, et ton enregistrement sur $GAME est inaudible.;Recommencer l'enregistrement;Ton texte sur $GAME est bien rodé maintenant, mais tu y passes l'aprèm.;PFFFF;Utiliser un vieux backup;La qualité est bof, mais tu gagnes du temps.;JE-MEN-FOUT;PLOUF_HESITE;BACK_BUREAU
ADOBE_CRASH;MOUNT_CHRONIQUE_VIDEO;Premiere plante et tu perds 3h de montage sur $GAME.;Hurler et tout refaire;Tu relances le logiciel à contrecœur, mais avec efficacité.;;A court de temps tu coupes une section\n de vidéo;Tu coupes dans le tas. La chronique sur $GAME sonne un peu bizar, mais peu de monde le remarquera;;PLOUF_COLERE;BACK_BUREAU
LOST_PROJECT_FILE;UPLOAD_CHRONIQUE_VIDEO;Ton projet de montage $GAME a disparu du disque dur.;Recommencer depuis zéro;Tu reconstruis ton projet $GAME et ça devient encore mieux.;;Rechercher dans la corbeille;Tu retrouves une version basse résolution de $GAME, ça ira très bien.;C-UN-PEU-NUL;PLOUF_HESITE;BACK_BUREAU
PODCAST_LAG;;Le montage audio du podcast que t'a envoyé Pseudoless est bizarement buggé.;Appeler Pseudoless pour t’aider;Il te donne un fichier propre, ouf.;;Tenter de changer le pitch;Le montage audio retrouve son timing prévu, mais ça sonne faux. Littéralement. Pseudo va être surpris.;JE-SUIS-GRILLE;PSEUDO;BACK_PODCAST
WEBCAM_FAILURE;STREAM_POST_CHRONIQUE;Ta webcam se met à fumer au lancement du stream!;On repousse à demain et tu files\n chez le revendeur du coin;Le magasin était fermé, tu as du en faire 3 pour avoir une caméra, mais au moins elle met bien au point.;JE-DETEST-CA;On fait sans facecam;C'était l'occasion de voir ton nouveau setup de stream dans ta nouvelle maison, le chat est déçu.;;PLOUF;BACK_PODCAST
LIVESTREAM_FAIL;STREAM_POST_CHRONIQUE;OBS plante au bout de 10 min avec une erreur en russe.;Passer 2h à débugger;Tu transpires beaucoup mais tu arrives à trouver une version qui marche.;;Bah pas cette fois.;Tu annonces que t’as la flemme de fixer ce bug. Les fans compatissent mais sont un peu déçu.;;PLOUF;BACK_BUREAU
INDI_ALLEMAND;;En testant la version Xbox d'Indiana Jones, tu découvres que le doublage FR est buggé sur ta machine;Attendre le patch;Tes abonnés mécontents du retard te rappelle que tu n'avais pas reculé devant zelda en Allemand, vive la résistance;;Jouer en Allemand;Tu renommes ta chronique "Indiana Jones un der Plouf" et les blagues sur les nazis n'en sont que plus drôles, mais bizarrement d'actualités;EXCELLENTE-IDEE;PLOUF_DARK;BACK_BIBLIO
ASSASSIN_T;;En testant Assassin Creed Shadow après un saut... disons audacieux, ton perso reste bloqué en T-pose.;L'intégrer tel quel;Tu prends la décision d'intégrer la pose dans toute ta chronique. Tu dois refaire beaucoup d'assets, mais le résultat est hilarant!;RIRE-MALEFIQUE;Passer sous silence;Tu n'en parles pas et tu peux utiliser tes assets habituels, mais le bug est tellement connu que tu te prends des attaques des anti-Ubisoft sur un prétendu accord avec Ubisoft pour taire ce bug;;FANBOY;BACK_MAISON


#==FAMILLY_ASK_ATTENTION
# A=familly+,rythm-     B=familly-,rythm+   
DAUGHTER_SICK;MOUNT_CHRONIQUE_VIDEO;Ta fille fait des terreurs nocturnes depuis 3 nuits.;La rassurer et rester près d'elle;Tu sacrifies ta session de montage, mais tu gagnes des câlins et tout se passe bien.;;Mettre un casque et laisser\n Madame gérer;Son regard le matin te fais dire que ses 5 réveils de la nuit vont te coûter cher, TRES cher.;TOUT-CELA-VA-MENER;PLOUF_FATIGUE;BACK_CHAMBRE
DAUGHTER_DRAWING;WRITE_CHRONIQUE;Ta fille veut que tu dessines un dragon avec elle.;Lui consacrer 30 minutes;Tu t’amuses, et tu te reconnectes à ton plaisir de dessiner sur papier.;;Promettre demain;Elle boude un peu, mais tu avances ton écritur.;;PLOUF_FILLE;BACK_PLAGE
STORYBOOK_GOLDEN;REGISTER_VOICE;Ta fille se mets au lit et attends sa lecture du soir.;Improviser un conte toi-même;Tu crées une histoire avec des zombies cochons.;;Lui lire n'importe quel "Tchoupi";Elle connait déjà ces histoires par coeur, mais c'est plus rapide.;;PLOUF_PETITE_JOUER;BACK_CHAMBRE
CHILD_INTERRUPT;REGISTER_VOICE;Ta fille débarque pendant que tu enregistres la chronique sur $GAME.;Garder la prise;Tu publies avec sa voix “papa !”, c’est adorable mais très long à bien mixer dans la vidéo.;;Recommencer;Elle n'aura pas sa voix dans la vidéo sur $GAME, mais ton mixage son est autrement plus facile.;;PLOUF_PETITE_JOUER;BACK_BIBLIO
RAINY_DAY;DRAW_CHRONIQUE;Il pleut à torrents. Ta fille veut jouer à la Switch avec toi.;Dire oui;Vous rigolez sur Mario Kart, c’est une pause sympa.;;Refuser;Elle boude mais tu avances bien ton dessin.;;PLOUF_PETITE_JOUER;BACK_BIBLIO
WIFE_DATE_SOON;MOUNT_CHRONIQUE_VIDEO;Madame te rappelle votre dîner au resto prévu ce soir.;Ton montage attendra;Tu stresses un peu mais le montage sur $GAME va attendre un peu.;;Lui demander si on peut décaler;Tu repousses le dîner, mais à la place de resto, tu risques une soupe à la grimace.;;MMEPLOUF;BACK_CUISINE
ACE_ATORNEY;CHOOSE_CHRONIQUE_GAME;Ta chère et tendre te "suggère" très fortement de laisser de côté $GAME pour faire le nouveau Ace Atorney à la place.;Accepter d'y jouer;Tu testes, mais cette histoire de verrou Psychologique a faire sauter ne t'inspire pas trop.;;Refuser avec le plus de diplomatie possible;Objection!... tu ne t'en tireras pas si facilement, et tu le sais. Il faudra bien que tu y joues un jour.;NON;MMEPLOUF;BACK_PLAGE
FILLE_PIRATE;DRAW_CHRONIQUE;Pendant que tu dessinnais des jolis bateaux pour Barbeplouf sur Yakusa Pirates, ta fille a gribouillé ton story board en rajoutant une jolie licorne pirate;L'intégrer;Tu changes tout ton script pour faire tourner l'histoire autour de l'histoire de Majima qui cherche son cheval tout au long du jeu;;La supprimer;Tu enlèves sa licorne de ton story board, mais elle ne comprends pas en voyant la vidéo finale et te fais la tête désormais;UN-PEU-ENNUYEU;PLOUF_FILLE;BACK_CHAMBRE
RANGER_SON_BORDEL;;Madame en a eu marre, elle t'as lancé un ultimatum: ranger le bordel que tu nommes "bureau", ou formir dehors avec les chauves-souris;Abdiquer;Madame en colère aurait fini Elden Ring en moins de 10min en cramant tout sur son passage, tu préfères ne pas empirer ton cas;MMPLOUF-RANGER-SON-BORDEL;Demain promis;Ah... elle l'a déjà entendu celle là, ça ne passe plus, tu peux déjà préparer ta tante et espérer que la météo sera claimante ce soir;MMPLOUF-RANGER-SON-BORDEL;MMEPLOUF;BACK_BUREAU


#==FAMILLY_SUPPORT
# A=familly+,creativity+     B=rien   
INSPIRATION_MUSEE;DRAW_CHRONIQUE;Tu manques d'inspiration, madame te propose une expo de pixel art.;Y aller;Tu fais le plein d’idées et tu passes un bon moment.;PLUTOT-UN-BON-DEAL;Rester bosser;Tu avances sur les dessins de $GAME mais tu bloques toujours.;;MMEPLOUF;BACK_PLAGE
MOM_SUPPORT;;Ta mère passe te voir et t’aide à organiser ton bureau en bordel.;Laisser faire;Tu respires mieux dans ce nouvel espace et trouves une meilleure concentration.;PLUTOT-UN-BON-DEAL;Refuser;Tu refuses par fierté, et restes bloqué dans le désordre.;;PLOUF;BACK_BUREAU
BOITE_A_SOUVENIRS;;Madame retrouve une vieille boîte de dessins à toi.;L’explorer;Tu es ému, ça relance ton inspiration artistique.;PATHETIQUES-SENTIMENTS;L’ignorer;Tu n’as pas le temps, tu rates peut-être un déclic créatif qui t'aurais bien aidé sur $GAME.;;MMEPLOUF;BACK_CUISINE
NEW_SPIDERMAN_ANIME;;Mme Plouf te propose d'aller voir le dernier film d'animation Spiderman qui est très beau parait-il.;Dire oui;C'est super inspirant!;;Dire non;Tu rates une bonne soirée, tu restes seul devant ton ordi face à $GAME.;RIEN-A-BATTRE;MMEPLOUF;BACK_CANAPE
MESSAGE_MOTIVANT;;Ta fille t’a laissé un mot “Tu es le meilleur papa du monde”.;Le garder sur le bureau;Tu travailles avec le sourire toute la journée.;;Le mettre sur le tas;Tu le mets de côté et te reconcentres. Tu culpabilises ensuite.;;PLOUF_FILLE;BACK_BUREAU
SOUTIEN_CREATION;;Ta chère et tendre regarde ton dernier dessin et te donne un super retour constructif.;L’écouter;Tu ajustes quelques détails qui rendent le dessin bien meilleur.;;Ignorer;Tu ignores les conseils, ton dessin sur $GAME reste bancal. Elle avait raison. Elle a souvent raison en fait.;;MMEPLOUF;BACK_BUREAU
