problem_id;phase_id_dep;title;problem_description;choice_a;outcome_a;visibility_a;flow_a;familly_life_a;rythm_a;choice_b;outcome_b;visibility_b;flow_b;familly_life_b;rythm_b;card_img_id
STREAM_IMPROMPTU;;Stream imprévu;Un fan enthousiaste t’invite à participer à un stream collaboratif ce soir à 21h. Tu n'avais rien prévu, mais ça peut être cool.;Accepter le stream;Tu acceptes ! C'est fun, ça fait découvrir ta chaîne à d'autres, mais tu dors à 2h du mat.;1;-1;-2;1;Refuser poliment;Tu refuses. Dommage pour la visibilité, mais tu lis une histoire à ta fille et dors tôt.;0;2;3;0;PLOUF_HESITE
DAUGHTER_SICK;MOUNT_CHRONIQUE_VIDEO;Fièvre nocturne;Ta fille est malade, elle a besoin de toi ce soir.;Lui lire une histoire et rester près d'elle;Tu sacrifies ta session de montage, mais tu gagnes des câlins et une soirée douce.;0;1;4;-2;Mettre un casque et monter quand même;Tu bosses en espérant qu’elle dorme. Tu stresses à chaque toux.;1;-2;-3;1;PLOUF_PETITE_JOUER
SPONSOR_EMAIL;UPLOAD_CHRONIQUE_VIDEO;Mail de sponsor tardif;Une marque t’écrit pour sponsoriser ta prochaine vidéo. Le mail est arrivé dans les spams.;Répondre dans la foulée;Tu assures le partenariat, mais tu dois bosser tard pour intégrer la pub.;2;-1;-1;0;Laisser pour demain;Tu dors, mais le sponsor va peut-être se rétracter.;0;2;2;0;EDITOR
PSEUDOLESS_DECIDE;;Annonce de Pseudoless;Pseudoless t’annonce le jeu du podcast : un visual novel de 25h.;Commencer à y jouer tout de suite;Tu prends de l’avance, mais dis adieu à ta soirée.;0;-1;-2;3;Attendre le week-end;Tu repousses, mais tu restes dispo pour ta famille.;0;1;2;0;PSEUDO
ANIMATION_BLOCK;ANIMATE_CHRONIQUE;Blocage d’animation;Tu galères à animer un passage où tu te fais écraser par un mob.;Reprendre depuis le début;Tu perds du temps mais le rendu est bien meilleur.;2;-1;0;-2;Garder l’anim moyenne;Tu passes à autre chose. L'humour en prend un coup.;-2;1;0;0;PLOUF_BUREAU
TWITTER_DRAMA;;Petit drama Twitter;Un influenceur te cite en se moquant d’un de tes dessins.;Répondre avec humour;Ta répartie fait mouche, mais ça t’a pompé.;1;-2;0;0;Ignorer;Tu continues ta journée sans t'énerver.;0;2;0;0;PLOUF_HESITE
RECORDING_ISSUE;REGISTER_VOICE;Micro HS;Tu découvres que ton micro a buggé, et ton enregistrement est inaudible.;Recommencer l'enregistrement;Ton texte est bien rodé maintenant, mais tu y passes l'aprèm.;2;-1;0;-1;Utiliser un vieux backup;La qualité est bof, mais tu gagnes du temps.;-1;1;0;0;PLOUF_BUREAU
WIFE_DATE_SOON;MOUNT_CHRONIQUE_VIDEO;Soirée prévue en couple;Ta femme te rappelle votre dîner prévu ce jeudi.;Préparer la vidéo à l’avance;Tu stresses un peu mais t’assures le montage en avance.;1;-2;3;0;Lui dire qu’on décale;Tu repousses le dîner, mais tu risques une soupe à la grimace.;0;-1;-3;1;PLOUF_FAMILLE_MANGER
GAME_TOO_LONG;PLAY_CHRONIQUE_GAME;Jeu interminable;Le jeu de la chronique est deux fois plus long que prévu.;Rusher le jeu;Tu prends des raccourcis. La vidéo sera moins complète.;-1;0;0;2;Changer de jeu;Tu recommences de zéro, mais tu es plus inspiré.;2;-1;0;-2;PLOUF_CANAPE
DAUGHTER_DRAWING;WRITE_CHRONIQUE;Dessin avec ta fille;Ta fille veut que tu dessines des dinosaures avec elle.;Lui consacrer 30 minutes;Tu t’amuses, et tu te reconnectes à ton plaisir de dessiner.;2;2;3;0;Promettre demain;Elle boude un peu, mais tu avances ton storyboard.;0;1;-2;0;PLOUF_PETITE_JOUER
