problem_id;phase_id_dep;title;problem_description;choice_a;outcome_a;popularity_a;creativity_a;familly_life_a;speed_a;choice_b;outcome_b;popularity_b;creativity_b;familly_life_b;speed_b;character_img_id;background_img_id
RECORDING_ISSUE;REGISTER_VOICE;;Tu découvres que ton micro a buggé, et ton enregistrement sur $GAME est inaudible.;Recommencer l'enregistrement;Ton texte sur $GAME est bien rodé maintenant, mais tu y passes l'aprèm.;+1;0;0;-1;Utiliser un vieux backup;La qualité est bof, mais tu gagnes du temps.;-1;0;0;+1;PLOUF_HESITE;BACK_BUREAU
STORYBOOK_GOLDEN;REGISTER_VOICE;;Ta fille se mets au lit et attends sa lecture du soir.;Improviser un conte toi-même;Tu crées une histoire avec des zombies cochons.;0;0;+1;-1;Lui lire "Tchoupi ne veut pas prêter";Elle connait déjà cette histoire par coeur, mais tu reposes ta voix.;0;0;-1;+1;PLOUF_PETITE_JOUER;BACK_CHAMBRE
CHILD_INTERRUPT;REGISTER_VOICE;;Ta fille débarque pendant que tu enregistres la chronique sur $GAME.;Garder la prise;Tu publies avec sa voix “papa !”, c’est adorable mais très long à bien mixer dans la vidéo.;0;0;+1;-1;Recommencer;Elle n'aura pas sa voix dans la vidéo sur $GAME, mais ton mixage son est autrement plus facile.;0;0;-1;+1;PLOUF_PETITE_JOUER;BACK_BIBLIO
SOUND_AMBIANCE;REGISTER_VOICE;;Un oiseau chante trop fort à la fenêtre à côté du bureau.;Réenregistrer plus tard;Tu attends. Mais ça repousse ton planning.;0;+1;0;-1;Garder le bruit;Tu fais une vanne dessus dans les commentaires.;0;-1;0;+1;PLOUF_COLERE;BACK_MAISON
ADOBE_CRASH;MOUNT_CHRONIQUE_VIDEO;;Premiere plante et tu perds 3h de montage sur $GAME.;Hurler et tout refaire;Tu relances le logiciel à contrecœur, mais avec efficacité.;+1;0;0;-1;A court de temps tu coupes une section\n de vidéo;Tu coupes dans le tas. La chronique sur $GAME sonne un peu bizar, mais peu de monde le remarquera;-1;0;0;+1;PLOUF_COLERE;BACK_BUREAU
DAUGHTER_SICK;MOUNT_CHRONIQUE_VIDEO;;Ta fille fait des terreurs nocturnes depuis 3 nuits.;La rassurer et rester près d'elle;Tu sacrifies ta session de montage, mais tu gagnes des câlins et tout se passe bien.;0;0;+1;-1;Mettre un casque et laisser\n Madame gérer;Son regard le matin te fais dire que ses 5 réveils de la nuit vont te coûter cher, TRES cher.;0;0;-1;+1;PLOUF_FATIGUE;BACK_CHAMBRE
WIFE_DATE_SOON;MOUNT_CHRONIQUE_VIDEO;;Madame te rappelle votre dîner au resto prévu ce soir.;Ton montage attendra;Tu stresses un peu mais le montage sur $GAME va attendre un peu.;0;0;+1;-1;Lui demander si on peut décaler;Tu repousses le dîner, mais à la place de resto, tu risques une soupe à la grimace.;0;0;-1;+1;MMEPLOUF;BACK_CUISINE
NIGHT_EDITING;MOUNT_CHRONIQUE_VIDEO;;Il est minuit. Tu n’as pas fini le montage de $GAME.;Continuer;Tu finis à 3h. Tu tiens avec du Mountain Dew, tes reins trinquent plus que toi.;0;-1;0;+1;Dormir et reprendre demain;Tu es plus frais mais jeudi 18h semble très proche.;0;+1;0;-1;PLOUF_HESITE;BACK_CHAMBRE
SILENT_HILL_DISTORSION;MOUNT_CHRONIQUE_VIDEO;;Pendant le montage de Silent Hill 2 tes séquences s'altèrent toutes seules avec du bruit, du flou et des distorsions;Tu redessines tout;Tes assets étant devenus maudis, tu les jettes et tu redessines tout. Ca te prends des jours et des jours, mais les vieux assets en sortent améliorés;0;+1;0;-1;Garder les "effets";Tu gagnes du temps, mais désormais tu as l'impression que dans ta vie il y a comme une sorte de "grain" partout, tu te demandes si tu n'es pas téléporté dans... non quand même pas...;0;-1;0;+1;PLOUF_HESITE;BACK_BUREAU
LOST_PROJECT_FILE;UPLOAD_CHRONIQUE_VIDEO;;Ton projet de montage $GAME a disparu du disque dur.;Recommencer depuis zéro;Tu reconstruis ton projet $GAME et ça devient encore mieux.;+1;0;0;-1;Rechercher dans la corbeille;Tu retrouves une version basse résolution de $GAME, ça ira très bien.;-1;0;0;+1;PLOUF_HESITE;BACK_BUREAU
